Sample ID	Species Identified	Percent Identity
BTT234_ALBA-3R_7984908_060 (trimmed).fa	vulpes	98.673
BTT235_ALBA-3R_7984908_058 (trimmed).fa	vulpes	98.684
BTT236_ALBA-3R_7984908_056 (trimmed).fa	vulpes	98.525
BTT237_ALBA-3R_7984908_054 (trimmed).fa	vulpes	98.208
BTT238_ALBA-3R_7984908_052 (trimmed).fa	vulpes	98.671
BTT239_ALBA-3R_7984908_050 (trimmed).fa	vulpes	98.660
BTT240_ALBA-3R_7984908_079 (trimmed).fa	vulpes	98.525
BTT241_ALBA-3R_7984908_077 (trimmed).fa	vulpes	98.347
BTT259_ALBA-3R_7984908_075 (trimmed).fa	vulpes	98.203
BTT260_ALBA-3R_7984908_073 (trimmed).fa	vulpes	98.350
BTT263_ALBA-3R_7984908_071 (trimmed).fa	vulpes	98.206
BTT272_ALBA-3R_7984908_069 (trimmed).fa	vulpes	98.671
BTT278_ALBA-3R_7984908_067 (trimmed).fa	vulpes	98.197
BTT279_ALBA-3R_7984908_065 (trimmed).fa	vulpes	98.510
BTT280_ALBA-3R_7984908_080 (trimmed).fa	vulpes	98.525
BTT281_ALBA-3R_7984908_076 (trimmed).fa	vulpes	98.522
BTT282_ALBA-3R_7984908_074 (trimmed).fa	vulpes	98.671
BTT283_ALBA-3R_7984908_072 (trimmed).fa	vulpes	98.347
BTT284_ALBA-3R_7984908_070 (trimmed).fa	vulpes	98.527
BTT285_ALBA-3R_7984908_068 (trimmed).fa	vulpes	98.039
BTT286_ALBA-3R_7984908_066 (trimmed).fa	vulpes	98.507
BTT287_ALBA-3R_7984908_095 (trimmed).fa	vulpes	98.525
BTT288_ALBA-3R_7984908_093 (trimmed).fa	vulpes	98.520
BTT290_ALBA-3R_7984908_091 (trimmed).fa	vulpes	98.522
BTT291_ALBA-3R_7984908_089 (trimmed).fa	vulpes	98.675
BTT292_ALBA-3R_7984908_087 (trimmed).fa	vulpes	98.507
BTT293_ALBA-3R_7984908_085 (trimmed).fa	vulpes	98.678
BTT294_ALBA-3R_7984908_083 (trimmed).fa	vulpes	98.527
BTT295_ALBA-3R_7984908_081 (trimmed).fa	vulpes	98.382
BTT296_ALBA-3R_7984908_096 (trimmed).fa	vulpes	98.353
BTT297_ALBA-3R_7984908_094 (trimmed).fa	vulpes	98.342
BTT298_ALBA-3R_7984908_092 (trimmed).fa	vulpes	98.527
BTT300_ALBA-3R_7984908_090 (trimmed).fa	vulpes	98.355
BTT302_ALBA-3R_7984908_088 (trimmed).fa	vulpes	98.197
BTT317_ALBA-3R_7984908_084 (trimmed).fa	vulpes	98.042
FC29_Alba2F assembly consensus.fa	goreensis	100.000
